id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,categoria_general,link
15970,men,Apparel,topwear,shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg
39386,men,Apparel,bottomwear,jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans,pantalon,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg
21379,men,Apparel,bottomwear,track pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants,pantalon,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg
53759,men,Apparel,topwear,tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg
1855,men,Apparel,topwear,tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg
30805,men,Apparel,topwear,shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg
26960,women,Apparel,topwear,shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg
12369,men,Apparel,topwear,shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg
42419,girls,Apparel,topwear,tops,White,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,top,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg
13089,men,Apparel,topwear,sweatshirts,Grey,Fall,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,abrigo,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg
