emotion,id,name,gender,category
happy,8773,indigo nation men price catch yellow shirts,men,shirts
happy,6331,ucb men ben logo yellow shirt,men,shirts
happy,14040,flying machine men check yellow shirts,men,shirts
happy,27876,scullers for her printed white shirt,women,shirts
happy,37780,john players men bright striped shirt,men,shirts
happy,13325,gini and jony kids boys printed brown shirts,men,shirts
happy,37727,john players men check yellow shirt,men,shirts
happy,37949,mineral women printed green shirt,women,shirts
happy,40669,lee women navy blue printed shirt,women,shirts
happy,13326,gini and jony kids boys printed brown shirts,men,shirts
happy,11719,lee men check yellow shirts,men,shirts
happy,37765,john players men yellow check shirt,men,shirts
happy,57128,elle women grey retro top,women,shirts
happy,21138,s.oliver women white printed shirt,women,shirts
happy,23961,provogue men printed white shirt,men,shirts
happy,14674,basics men yellow slim fit shirt,men,shirts
happy,29670,indigo nation men printed black shirt,men,shirts
happy,34067,femella women printed cream shirt,women,shirts
happy,54979,femella women white printed shirt,women,shirts
happy,6320,ucb men small checks yellow shirt,men,shirts
happy,11520,united colors of benetton women denim black jeans,women,jeans
happy,11282,wrangler men blue texas jeans,men,jeans
happy,48383,french connection men black jeans,men,jeans
happy,51503,denizen women blue jeans,women,jeans
happy,48386,french connection men black jeans,men,jeans
happy,57075,elle blue jeans,women,jeans
happy,27025,jealous 21 women pink jeans,women,jeans
happy,37197,united colors of benetton women navy blue jeans,women,jeans
happy,9901,spykar men actif low waist narrow fit blue jeans,men,jeans
happy,23401,spykar women jeans,women,jeans
happy,9187,spykar men style essentials spykar basic attire series 0428 blue jeans,men,jeans
happy,7187,jealous 21 women supper zipped ankle black jeans,women,jeans
happy,41346,wrangler men navy blue texas jeans,men,jeans
happy,40364,tokyo talkies women navy jeans,women,jeans
happy,52235,pepe jeans men dark blue jeans,men,jeans
happy,18487,puma men washed blue jeans,men,jeans
happy,33283,gini and jony boys black jeans,boys,jeans
happy,7179,jealous 21 women blue jegging,women,jeans
happy,51596,wrangler women black molly jeans,women,jeans
happy,44579,lee men blue pent jeans,men,jeans
happy,34203,proline men charcoal grey track pants,men,track pants
happy,34201,proline men grey melange track pants,men,track pants
happy,5027,adidas men's long black capris,men,track pants
happy,1799,domyos men blue & white tracksuit,men,track pants
happy,10011,nike men grey melange track pants,men,track pants
happy,26260,proline men grey track pants,men,track pants
happy,4774,adidas women 3s pink track pants,women,track pants
happy,30605,nike men classic jersey grey track pants,men,track pants
happy,7887,proline men blue track pants,men,track pants
happy,4834,adidas men's woven sand track pant,men,track pants
happy,29020,adidas men grey track pants,men,track pants
happy,14392,puma ess sweat pants track pant,men,track pants
happy,43081,nike women navy blue track pant,women,track pants
happy,2118,adidas men's foamy striped track pants,men,track pants
happy,15631,nike men navy cricket track pants,men,track pants
happy,30616,nike women black track pants,women,track pants
happy,4832,adidas men's shale yellow track pant,men,track pants
happy,7885,proline men grey track pants,men,track pants
happy,17993,puma women essential skinny grey track pant,women,track pants
happy,7126,urban yoga women bottom grey track pant,women,track pants
happy,10825,wrangler men green polo t-shirt,men,tshirts
happy,38954,gini and jony boys printed green t-shirt,boys,tshirts
happy,30347,myntra men made in india off white t-shirt,men,tshirts
happy,3767,status quo men's blue polo t-shirt,men,tshirts
happy,8444,jealous 21 women jealous eirny green top green t-shirt,women,tshirts
happy,2015,adidas mens classic collar black polo t-shirt,men,tshirts
happy,6231,lee men's stallion blue green t-shirt,men,tshirts
happy,6076,ucb men's polo neck striper white yellow t-shirt,men,tshirts
happy,49965,hanes men pack of 3 t-shirt,men,tshirts
happy,7443,proline men white polo t-shirt,men,tshirts
happy,14301,classic polo men printed pack of 3 tshirts,men,tshirts
happy,2014,adidas men's classic yellow polo t-shirt,men,tshirts
happy,15846,lee grey stripes casual t-shirts,men,tshirts
happy,32979,mr. men printed red t-shirt,men,tshirts
happy,26882,jealous 21 women printed white t-shirt,women,tshirts
happy,2970,puma men's white t-shirt,men,tshirts
happy,22320,wildcraft men solid grey t-shirt,men,tshirts
happy,31263,puma men navy blue t-shirt,men,tshirts
happy,29024,adidas men messi navy blue t-shirt,men,tshirts
happy,6206,lee men's palm pink t-shirt,men,tshirts
happy,39836,gini and jony girls printed peach top,girls,tops
happy,57112,elle women green color clash top,women,tops
happy,32598,only women orange top,women,tops
happy,37935,mineral women teal top,women,tops
happy,51456,tonga women pink & white top,women,tops
happy,40158,gini and jony girls summer up blue top,girls,tops
happy,57102,elle women white essentialstop,women,tops
happy,33758,vero moda women polly pink top,women,tops
happy,42218,sepia women blue printed top,women,tops
happy,16147,tokyo talkies women printed grey top,women,tops
happy,42200,sepia women yellow top,women,tops
happy,13890,scullers women solid purple tops,women,tops
happy,32583,only women crepe printed pink top,women,tops
happy,26913,jealous 21 women printed blue top,women,tops
happy,32257,fabindia women printed beige ghicha silk wrap top,women,tops
happy,7310,ucb women's short sleeve round neck pink top,women,tops
happy,34161,gini and jony girls black top,girls,tops
happy,43042,gini and jony girls pink top,girls,tops
happy,44807,spykar women white top,women,tops
happy,34008,gini and jony girls pink top,girls,tops
happy,19171,united colors of benetton men printed grey sweatshirt,men,sweatshirts
happy,16911,mr. men men printed white sweatshirt,men,sweatshirts
happy,14112,flying machine men printed green sweatshirts,men,sweatshirts
happy,21476,roxy women grey printed sweatshirt,women,sweatshirts
happy,14306,adidas men printed navy blue sweatshirts,men,sweatshirts
happy,15585,proline men blue printed sweatshirt,men,sweatshirts
happy,14986,adidas men printed navy blue sweatshirts,men,sweatshirts
happy,16443,levis men printed black sweatshirts,men,sweatshirts
happy,19661,united colors of benetton men printed black sweatshirt,men,sweatshirts
happy,15040,adidas men printed purple sweatshirts,men,sweatshirts
happy,24307,adidas men grey printed sweatshirt,men,sweatshirts
happy,20379,urban yoga women printed grey sweatshirt,women,sweatshirts
happy,20204,wrangler men flock print grey sweatshirt,men,sweatshirts
happy,24290,quiksilver men red printed sweatshirt,men,sweatshirts
happy,14111,flying machine men printed navy blue sweatshirts,men,sweatshirts
happy,13317,gini and jony kids boys printed grey sweatshirts,men,sweatshirts
happy,10371,united colors of benetton men printed black sweatshirt,men,sweatshirts
happy,15586,proline men green printed sweatshirt,men,sweatshirts
happy,13998,nike men printed white sweatshirts,men,sweatshirts
happy,15318,nike men printed white sweatshirts,men,sweatshirts
happy,42582,united colors of benetton boys white waistcoat,boys,waistcoat
happy,26862,jealous 21 women washed blue waistcoat,women,waistcoat
happy,8580,scullers men  grey waistcoat,men,waistcoat
happy,42583,united colors of benetton boys navy blue waistcoat,boys,waistcoat
happy,12462,basics men brown checked waistcoat,men,waistcoat
happy,30737,fabindia men red silk sleeveless waistcoat,men,waistcoat
happy,37167,united colors of benetton boys check grey waistcoat,boys,waistcoat
happy,57081,elle women blue waistcoat,women,waistcoat
happy,13706,basics men red checked waistcoat,men,waistcoat
happy,43671,only women pink waistcoat,women,waistcoat
happy,44376,only women blue waistcoat,women,waistcoat
happy,44375,only women blue waistcoat,women,waistcoat
happy,8581,scullers men black waistcoat,men,waistcoat
happy,8583,scullers men dark grey waistcoat,men,waistcoat
happy,8582,scullers men grey waistcoat,men,waistcoat
happy,40082,adidas men navy blue short,men,shorts
happy,6525,nike women's tempo yellow short,women,shorts
happy,43916,femella women yellow shorts,women,shorts
happy,4808,adidas men's prophecy black yellow short,men,shorts
happy,41696,superman men black printed shorts,men,shorts
happy,30637,nike women printed tempo red shorts,women,shorts
happy,4989,gini and jony girl's fenil bright green kidswear,women,shorts
happy,12672,probase men yellow shorts,men,shorts
happy,21433,roxy women beach brights blue shorts,women,shorts
happy,37520,madagascar3 infant boys lemon yellow shorts,boys,shorts
happy,41701,dc comics men navy blue printed shorts,men,shorts
happy,30636,nike women printed tempo blue shorts,women,shorts
happy,21434,roxy women beach brights blue short,women,shorts
happy,19419,quiksilver men black printed shorts,men,shorts
happy,51395,myntra men yellow check shorts,men,shorts
happy,33498,doodle kids boy printed blue shorts,men,shorts
happy,19438,quiksilver men printed blue shorts,men,shorts
happy,41695,superman men navy blue printed shorts,men,shorts
happy,41700,dc comics men black printed shorts,men,shorts
happy,27218,doodle kids boy printed blue shorts,men,shorts
happy,52027,just natural unisex navy blue rain jacket,unisex,rain jacket
happy,52044,just natural unisex black and olive reversible rain jacket,unisex,rain jacket
happy,52026,just natural unisex grey rain jacket,unisex,rain jacket
happy,52045,just natural unisex black and grey reversible rain jacket,unisex,rain jacket
happy,51331,wildcraft men black rain cheater'13,men,rain jacket
happy,52032,just natural unisex red rain jacket,unisex,rain jacket
happy,52043,just natural unisex navy blue jacket,unisex,rain jacket
happy,52029,just natural unisex charcoal rain jacket,unisex,rain jacket
happy,59105,just natural men navy blue rain jacket,men,rain jacket
happy,59102,just natural men black rain jacket,men,rain jacket
happy,52031,just natural unisex black rain jacket,unisex,rain jacket
happy,59103,just natural men military shade rain jacket,men,rain jacket
happy,52028,just natural unisex brown rain jacket,unisex,rain jacket
happy,58526,wildcraft men blue rain jacket,men,rain jacket
happy,52030,just natural unisex olive rain jacket,unisex,rain jacket
happy,52042,just natural unisex black rain jacket,unisex,rain jacket
happy,51319,wildcraft unisex black poncho rain jacket,unisex,rain jacket
happy,59104,just natural men brown rain jacket,men,rain jacket
happy,52131,doodle girls blue printed dress,girls,dresses
happy,57989,latin quarters women blue dress,women,dresses
happy,36750,little miss girls chatterbox navy blue dress,girls,dresses
happy,31168,gini and jony girls white dress,girls,dresses
happy,48524,french connection women white dress,women,dresses
happy,43627,vero moda green printed shift dress,women,dresses
happy,59981,avirate  black & purple women dress,women,dresses
happy,50721,doodle girls pink printed dress,girls,dresses
happy,57053,elle pink vintage dress,women,dresses
happy,57044,elle women black dress,women,dresses
happy,46271,109f blue a-line dress,women,dresses
happy,57996,latin quarters women black dress,women,dresses
happy,57040,elle women black dress,women,dresses
happy,59896,femella women multi coloured dress,women,dresses
happy,48463,french connection teal & brown printed dress,women,dresses
happy,57999,latin quarters women brown dress,women,dresses
happy,51450,tonga women brown dress,women,dresses
happy,57995,latin quarters women & white black dress,women,dresses
happy,58506,tonga women printed blue dress,women,dresses
happy,48476,french connection women blue dress,women,dresses
happy,29173,united colors of benetton kids girls printed green skirt,girls,skirts
happy,6864,forever new women's printed white skirt,women,skirts
happy,29172,united colors of benetton kids girls printed pink skirt,girls,skirts
happy,16805,ant kids girls printed black skirt,girls,skirts
happy,27199,doodle kids girl printed grey skirt,women,skirts
happy,30928,fabindia women printed blue skirt,women,skirts
happy,5586,ant kids girl's tiger print kidswear,girls,skirts
happy,30924,fabindia women printed beige ghera skirt,women,skirts
happy,57087,elle women yellow skirt,women,skirts
happy,5581,ant kids girl's flower print frill pink kidswear,girls,skirts
happy,18711,arrow woman printed brown skirt,women,skirts
happy,47657,femella women grey printed skirt,women,skirts
happy,8499,forever new women blossom  pink printed skirt,women,skirts
happy,18710,arrow woman printed tan skirt,women,skirts
happy,30925,fabindia women printed black ghera skirt,women,skirts
happy,57085,elle women off-white & orange floral print tulip skirt,women,skirts
happy,30922,fabindia women printed rust skirt,women,skirts
happy,6857,forever new women's animal stroke print black skirt,women,skirts
happy,8493,forever new women black skirts,women,skirts
happy,30923,fabindia women printed mustard skirt,women,skirts
happy,31742,reid & taylor men semi formal black blazer,men,blazers
happy,31732,reid & taylor men brown blazer,men,blazers
happy,27845,scullers for her black blazer,women,blazers
happy,27846,scullers for her charcoal blazer,women,blazers
happy,31729,reid & taylor men blue blazer,men,blazers
happy,31733,reid & taylor men charcoal grey blazer,men,blazers
happy,31743,reid & taylor men semi formal olive blazer,men,blazers
happy,31161,gini and jony boys printed navy blue blazer,boys,blazers
happy,58158,latin quarters women maroon shrug,women,shrug
happy,26371,arrow woman check pink shirt,women,shrug
happy,54992,femella women black & beige shrug,women,shrug
happy,58507,tonga women coffee brown shrug,women,shrug
happy,21163,s.oliver women solid grey shrug,women,shrug
happy,51455,tonga women pink printed shrug,women,shrug
happy,8948,indigo nation men id printed navy blue trousers,men,trousers
happy,43918,femella women yellow trousers,women,trousers
happy,27614,scullers men beige trousers,men,trousers
happy,8937,scullers men scul brown trousers,men,trousers
