emotion,id,name,gender,category
happy,51435,myntra women pink top,women,shirts
happy,26812,arrow men yellow shirt,men,shirts
happy,20189,wrangler men wanderers printed olive shirt,men,shirts
happy,27880,scullers for her women white printed shirt,women,shirts
happy,13327,gini and jony kids boys printed green tshirts,men,shirts
happy,29274,wrangler women stella yellow shirt,women,shirts
happy,31657,indigo nation men printed black shirt,men,shirts
happy,51406,myntra men yellow striped shirt,men,shirts
happy,16463,locomotive men check yellow shirt,men,shirts
happy,10806,wrangler men stampede printed stripe green shirts,men,shirts
happy,31660,indigo nation men printed black shirt,men,shirts
happy,41611,basics men yellow checked shirt,men,shirts
happy,37742,john players men stripes yellow shirt,men,shirts
happy,15984,turtle check men yellow shirt,men,shirts
happy,14674,basics men yellow slim fit shirt,men,shirts
happy,13326,gini and jony kids boys printed brown shirts,men,shirts
happy,43226,united colors of benetton women purple printed shirt,women,shirts
happy,31662,indigo nation men printed teal shirt,men,shirts
happy,13895,spykar men stripes yellow shirts,men,shirts
happy,16529,locomotive men check yellow shirt,men,shirts
happy,27025,jealous 21 women pink jeans,women,jeans
happy,11282,wrangler men blue texas jeans,men,jeans
happy,9187,spykar men style essentials spykar basic attire series 0428 blue jeans,men,jeans
happy,18487,puma men washed blue jeans,men,jeans
happy,51596,wrangler women black molly jeans,women,jeans
happy,11520,united colors of benetton women denim black jeans,women,jeans
happy,23401,spykar women jeans,women,jeans
happy,9901,spykar men actif low waist narrow fit blue jeans,men,jeans
happy,7187,jealous 21 women supper zipped ankle black jeans,women,jeans
happy,48383,french connection men black jeans,men,jeans
happy,41346,wrangler men navy blue texas jeans,men,jeans
happy,7179,jealous 21 women blue jegging,women,jeans
happy,37197,united colors of benetton women navy blue jeans,women,jeans
happy,57075,elle blue jeans,women,jeans
happy,44579,lee men blue pent jeans,men,jeans
happy,33283,gini and jony boys black jeans,boys,jeans
happy,52235,pepe jeans men dark blue jeans,men,jeans
happy,51503,denizen women blue jeans,women,jeans
happy,40364,tokyo talkies women navy jeans,women,jeans
happy,48386,french connection men black jeans,men,jeans
happy,2118,adidas men's foamy striped track pants,men,track pants
happy,7887,proline men blue track pants,men,track pants
happy,30605,nike men classic jersey grey track pants,men,track pants
happy,4834,adidas men's woven sand track pant,men,track pants
happy,7885,proline men grey track pants,men,track pants
happy,7126,urban yoga women bottom grey track pant,women,track pants
happy,1799,domyos men blue & white tracksuit,men,track pants
happy,4832,adidas men's shale yellow track pant,men,track pants
happy,26260,proline men grey track pants,men,track pants
